artist_searched,artist,track_name,album,release_date,popularity,duration_ms,explicit,track_id
the jesus and mary chain,The Jesus and Mary Chain,Just Like Honey,Psychocandy (Expanded Version),1985-11-18,,182493,False,1LwP9g1Hjbs64jXM2Qsxry
the jesus and mary chain,The Jesus and Mary Chain,April Skies,Darklands (Expanded Version),1987-08-31,,239621,False,7hs0Q5T9oyYMuGg4EQZenj
the jesus and mary chain,The Jesus and Mary Chain,Head On,Automatic (Expanded Version),1989-10-09,,251480,False,7ovOXoXhWyJleZfOfsANyp
the jesus and mary chain,The Jesus and Mary Chain,Happy When It Rains,Darklands (Expanded Version),1987-08-31,,217312,False,325ipyWkzIGakH2DJgDlOT
the jesus and mary chain,The Jesus and Mary Chain,Sometimes Always,Stoned and Dethroned (Expanded Version),1994-08-23,,151960,False,16vuZiAS0YQkQvAkRtI2d3
keaton henson,Keaton Henson,Elevator Song (feat. Ren Ford),Romantic Works,2014-06-16,,230997,False,0h6rEnfxJymGl3JO6V5X4u
keaton henson,Keaton Henson,Try,Try,2024-04-12,,242333,False,1fQzbxJs5jLKcBD1jVyGj4
keaton henson,Keaton Henson,You,Birthdays,2013-02-25,,282680,False,3AsfuEnwyMTHS7mbzcRUdV
keaton henson,Keaton Henson,Try,Somnambulant Cycles,2024-05-31,,242333,False,0HNonzWFoYoTdyBwYrJMNb
keaton henson,Kamal.,"no friend, no lover","no friend, no lover",2026-03-05,,204407,False,48tWTnNMgnlQuEP1gvwVIe
joy division,Joy Division,Love Will Tear Us Apart,The Best Of,2008-03-20,,206866,False,2JO3HwMRPeya8bXbtbyPcf
joy division,Joy Division,Transmission - 2020 Digital Remaster,Transmission,1979-10-07,,218440,False,1Bq65xKgu0kjSUMUlfWyPl
joy division,Joy Division,Disorder - 2007 Remaster,Unknown Pleasures (Collector's Edition),1979-06-01,,209039,False,5fbQCQt91LsVgXusFS0CCD
joy division,Joy Division,Atmosphere - 2020 Digital Remaster,Atmosphere,1980-03-18,,252093,False,7k42ztYdHyKWrKrENxwjkV
